id,tag,timestamp,value
900,Evaluate/mIoU,1713022520060,0.6286786198616028
1800,Evaluate/mIoU,1713022793194,0.7496431469917297
2700,Evaluate/mIoU,1713023067557,0.7578546404838562
3600,Evaluate/mIoU,1713023341541,0.7297282218933105
4500,Evaluate/mIoU,1713023615607,0.7922375798225403
5400,Evaluate/mIoU,1713023890592,0.7917479872703552
6300,Evaluate/mIoU,1713024166830,0.7858244776725769
7200,Evaluate/mIoU,1713024442953,0.8032650351524353
8100,Evaluate/mIoU,1713024718360,0.7733210921287537
9000,Evaluate/mIoU,1713024993390,0.8302059769630432
9900,Evaluate/mIoU,1713025269444,0.8058032989501953
10800,Evaluate/mIoU,1713025545563,0.8317294120788574
11700,Evaluate/mIoU,1713025821411,0.8142197728157043
12600,Evaluate/mIoU,1713026097589,0.7922983169555664
13500,Evaluate/mIoU,1713026373430,0.8688352704048157
14400,Evaluate/mIoU,1713026648820,0.8486309051513672
15300,Evaluate/mIoU,1713026923616,0.8613432049751282
16200,Evaluate/mIoU,1713027198690,0.8649601936340332
17100,Evaluate/mIoU,1713027474716,0.8731862902641296
18000,Evaluate/mIoU,1713027750436,0.8722482323646545
18900,Evaluate/mIoU,1713028025905,0.8524406552314758
19800,Evaluate/mIoU,1713028301372,0.8338212370872498
20700,Evaluate/mIoU,1713028577027,0.8580894470214844
21600,Evaluate/mIoU,1713028852313,0.8789594769477844
22500,Evaluate/mIoU,1713029127340,0.8587977290153503
23400,Evaluate/mIoU,1713029401842,0.7997211813926697
24300,Evaluate/mIoU,1713029675544,0.8976444602012634
25200,Evaluate/mIoU,1713029949016,0.8783581852912903
26100,Evaluate/mIoU,1713030222509,0.9013803601264954
27000,Evaluate/mIoU,1713030496432,0.9005993008613586
27900,Evaluate/mIoU,1713030769871,0.9005544781684875
28800,Evaluate/mIoU,1713031043439,0.8993462920188904
29700,Evaluate/mIoU,1713031317381,0.8635594248771667
30600,Evaluate/mIoU,1713031591728,0.8899741172790527
31500,Evaluate/mIoU,1713031865592,0.8672739863395691
32400,Evaluate/mIoU,1713032139443,0.887172520160675
33300,Evaluate/mIoU,1713032413555,0.8923532962799072
34200,Evaluate/mIoU,1713032689127,0.9023601412773132
35100,Evaluate/mIoU,1713032963621,0.8942327499389648
36000,Evaluate/mIoU,1713033237844,0.8987858891487122
36900,Evaluate/mIoU,1713033512463,0.8986282348632812
37800,Evaluate/mIoU,1713033786986,0.900911808013916
38700,Evaluate/mIoU,1713034061936,0.9031550288200378
39600,Evaluate/mIoU,1713034337077,0.9003291130065918
40500,Evaluate/mIoU,1713034612572,0.9083211421966553
41400,Evaluate/mIoU,1713034888052,0.875735342502594
42300,Evaluate/mIoU,1713035163099,0.9045761227607727
43200,Evaluate/mIoU,1713035438361,0.9044428467750549
44100,Evaluate/mIoU,1713035714019,0.9076218605041504
45000,Evaluate/mIoU,1713035988528,0.9035331606864929
45900,Evaluate/mIoU,1713036263687,0.9048158526420593
46800,Evaluate/mIoU,1713036538670,0.9074571132659912
47700,Evaluate/mIoU,1713036813787,0.9119113087654114
48600,Evaluate/mIoU,1713037087044,0.9106041789054871
